"bu_code","bu_naam","parkeren_pct","auto_pct","voet_pct","fiets_pct"
"BU19110509","Kreileroord",0.00,0.86,0.07,0.07
"BU19110702","Buitengebied Wieringerwaard",0.00,0.95,0.00,0.04
"BU19240204","Stellendam haven",0.11,0.80,0.05,0.05
"BU19240205","Stellendam buitengebied",0.02,0.87,0.02,0.09
"BU19240502","Den Bommel buitengebied",0.01,0.91,0.01,0.08
"BU19241006","Sommelsdijk buitengebied",0.04,0.87,0.03,0.06
"BU19240705","Dirksland buitengebied",0.02,0.88,0.03,0.06
"BU19240903","Herkingen buitengebied",0.03,0.80,0.01,0.16
"BU19241103","Nieuwe-Tonge buitengebied",0.02,0.81,0.02,0.15
"BU19241202","Stad aan 't Haringvliet buitengebied",0.01,0.86,0.02,0.11
"BU19270700","Wijngaarden",0.03,0.85,0.07,0.05
"BU01530403","Mekkelholt",0.10,0.47,0.41,0.01
"BU19310011","Verspr. huizen Lekkerkerk",0.03,0.83,0.10,0.05
"BU19311203","Zevender",0.02,0.75,0.06,0.18
"BU19402401","Mirns",0.10,0.81,0.02,0.07
"BU19403601","Rotstergaast",0.00,0.99,0.01,0.00
"BU19403801","Rottum",0.02,0.76,0.10,0.12
"BU19404901","Tjerkgaast",0.01,0.88,0.05,0.06
"BU19450102","Buitengebied Berg en Dal",0.04,0.75,0.15,0.06
"BU19480103","Buitengebied Boerdonk",0.00,0.89,0.00,0.11
"BU19480204","Buitengebied Broekkant",0.01,0.82,0.02,0.14
"BU01191202","Vogelbuurt",0.07,0.56,0.35,0.01
"BU19480221","Plein 1",0.13,0.47,0.37,0.03
"BU19480306","Buitengebied Olland",0.00,0.91,0.00,0.09
"BU19490408","Oosterbierum - Verspreide huizen",0.01,0.95,0.00,0.03
"BU19490609","Tzum - Verspreide huizen",0.00,0.95,0.01,0.05
"BU19490607","Achlum - Verspreide huizen",0.00,0.88,0.01,0.10
"BU19491109","Dronryp - Verspreide huizen",0.01,0.94,0.01,0.05
"BU19500409","Vlagtwedde",0.01,0.79,0.06,0.14
"BU19500403","Veele",0.01,0.91,0.04,0.04
"BU00050006","Noordwolde",0.04,0.76,0.20,0.00
"BU08260505","Paterserf",0.12,0.55,0.28,0.05
"BU19520501","Kiel-Windeweer",0.01,0.94,0.03,0.02
"BU00100305","Krewerd",0.02,0.87,0.11,0.00
"BU00100309","Bierum",0.00,0.90,0.07,0.04
"BU00100205","Wagenborgen",0.08,0.68,0.22,0.02
"BU19521602","Overschild Buitengebied",0.01,0.92,0.01,0.06
"BU19521702","Steendam",0.09,0.73,0.08,0.10
"BU00140008","Stationsgebied",0.06,0.42,0.39,0.14
"BU00090001","Garmerwolde",0.05,0.77,0.13,0.06
"BU00140101","Oosterpoort",0.10,0.45,0.41,0.04
"BU19550008","Braamt",0.06,0.81,0.01,0.12
"BU00140102","Herewegbuurt",0.09,0.51,0.34,0.06
"BU00140103","Rivierenbuurt",0.09,0.50,0.36,0.05
"BU00090002","Thesinge",0.10,0.74,0.15,0.01
"BU00030000","Appingedam-Centrum",0.13,0.53,0.32,0.02
"BU00090003","Sint-Annen",0.02,0.86,0.02,0.10
"BU00340204","Parkwijk",0.13,0.39,0.37,0.11
"BU00340205","Verzetswijk",0.14,0.40,0.37,0.10
"BU00030001","Appingedam-West",0.04,0.66,0.25,0.05
"BU00050000","Bedum",0.14,0.55,0.29,0.02
"BU00050002","Zuidwolde",0.09,0.69,0.15,0.07
"BU00141105","Het Witte Lam",0.00,0.90,0.06,0.04
"BU00340212","Muziekwijk Noord",0.14,0.46,0.34,0.06
"BU00030002","Appingedam-Oost",0.12,0.58,0.24,0.06
"BU00090000","Ten Boer",0.10,0.57,0.28,0.05
"BU00100303","Godlinze",0.05,0.79,0.16,0.00
"BU00050001","Bedum",0.01,0.84,0.04,0.11
"BU00340206","Waterwijk",0.13,0.41,0.38,0.08
"BU00090106","Lellens",0.05,0.88,0.08,0.00
"BU00030007","Damsterdiep en Eemskanaal",0.02,0.71,0.25,0.01
"BU00050004","Onderdendam",0.05,0.65,0.24,0.06
"BU00560201","Niehove",0.01,0.84,0.14,0.01
"BU00050007","Noordwolde",0.02,0.85,0.04,0.09
"BU00340207","Tussen de Vaarten Noord",0.14,0.48,0.28,0.10
"BU00340208","Tussen de Vaarten Zuid",0.13,0.48,0.33,0.07
"BU00090005","Achter-Thesinge en Bovenrijge",0.00,0.92,0.02,0.06
"BU00090009","ten noorden van het Eemskanaal",0.02,0.81,0.03,0.14
"BU00030008","ten zuiden van Eemskanaal",0.00,0.85,0.11,0.04
"BU00030009","ten noorden van het Damsterdiep",0.01,0.85,0.12,0.02
"BU00100301","Spijk",0.03,0.71,0.22,0.03
"BU00090100","Ten Post",0.05,0.73,0.17,0.06
"BU00050005","Onderdendam",0.00,0.82,0.09,0.09
"BU00090101","Winneweer (gedeeltelijk)",0.06,0.94,0.00,0.00
"BU00090102","Woltersum",0.07,0.82,0.12,0.00
"BU00050003","Zuidwolde",0.03,0.81,0.02,0.14
"BU00090104","Wittewierum",0.00,0.93,0.03,0.03
"BU00090109","ten noorden van het Eemskanaal",0.01,0.93,0.00,0.05
"BU00100000","Delfzijl-Centrum",0.15,0.46,0.36,0.03
"BU00100001","Farmsum",0.11,0.65,0.17,0.07
"BU00100005","Tuikwerd",0.07,0.53,0.24,0.16
"BU00100103","Meedhuizen",0.07,0.75,0.18,0.00
"BU00100104","Uitwierde",0.06,0.79,0.12,0.02
"BU00140100","De Meeuwen",0.06,0.55,0.34,0.05
"BU00100002","Delfzijl-Noord",0.14,0.48,0.31,0.07
"BU00100003","Delfzijl-West",0.10,0.55,0.29,0.07
"BU00140005","Hortusbuurt-Ebbingekwartier",0.06,0.37,0.52,0.06
"BU00140104","Grunobuurt",0.11,0.51,0.34,0.05
"BU04410407","Callantsoog",0.04,0.76,0.13,0.06
"BU00100004","Fivelzigt",0.07,0.52,0.25,0.16
"BU00100302","Holwierde",0.08,0.66,0.22,0.03
"BU00100200","Woldendorp",0.10,0.66,0.24,0.00
"BU00140007","UMCG",0.03,0.52,0.30,0.15
"BU00100202","Termunterzijl",0.13,0.62,0.25,0.00
"BU00340209","Staatsliedenwijk",0.21,0.34,0.37,0.08
"BU00100203","Borgsweer",0.02,0.71,0.25,0.01
"BU00100107","Eemskanaal (ten zuiden)",0.03,0.87,0.08,0.02
