bu_naam;parkeren_pct;auto_pct;voet_pct;fiets_pct
Bloemenbuurt;0.14;0.39;0.45;0.02
Florabuurt;0.07;0.44;0.45;0.04
Damsterbuurt;0.08;0.55;0.26;0.10
De Linie;0.04;0.65;0.28;0.03
Europapark;0.04;0.49;0.39;0.09
Groenewoud-Huur;0.04;0.39;0.57;0.00
Eemskanaal;0.12;0.71;0.10;0.07
Kop van Oost;0.12;0.57;0.24;0.07
Woonschepenhaven;0.11;0.68;0.12;0.09
Driebond;0.01;0.86;0.09;0.04
Eemspoort;0.01;0.83;0.07;0.09
Euvelgunne;0.02;0.83;0.09;0.06
Van Swieten;0.01;0.54;0.28;0.16
Coendersborg;0.06;0.46;0.45;0.03
Sint Maartensvlotbrug;0.11;0.70;0.13;0.05
Winschoterdiep;0.06;0.73;0.11;0.09
Stainkoel'n;0.01;0.85;0.01;0.13
Vinkhuizen-Noord;0.11;0.44;0.40;0.05
Klein Martijn;0.03;0.63;0.23;0.11
Bangeweer;0.02;0.60;0.12;0.26
Roodehaan;0.00;0.94;0.02;0.04
Waterhuizen;NULL;NULL;NULL;NULL
Sterrebosbuurt;0.08;0.53;0.24;0.15
Ruinen;0.00;0.88;0.02;0.10
Hoendiep;0.07;0.72;0.16;0.05
Villabuurt;0.01;0.54;0.38;0.07
Helpman;0.07;0.50;0.42;0.02
De Wijert;0.07;0.46;0.43;0.03
Paddepoel-Zuid;0.11;0.42;0.39;0.07
De Wijert-Zuid;0.08;0.61;0.25;0.05
Paddepoel-Noord;0.11;0.45;0.38;0.06
Corpus den Hoorn;0.11;0.50;0.31;0.08
De Buitenhof;0.04;0.63;0.27;0.06
Hoornse Meer;0.11;0.43;0.36;0.10
Hoornse Park;0.00;0.64;0.29;0.07
Ruischerwaard;0.11;0.47;0.28;0.14
Muziekwijk Zuid;0.15;0.41;0.36;0.08
Literatuurwijk;0.14;0.48;0.34;0.04
Friesestraatweg;0.01;0.75;0.21;0.03
Westpoort;0.00;0.88;0.03;0.09
Toornwerd;0.02;0.74;0.24;0.00
Zuidwending;0.00;0.94;0.01;0.05
Middelstum;0.01;0.84;0.12;0.03
Reitdiep;0.08;0.66;0.20;0.06
Zilvermeer;0.00;0.59;0.23;0.19
Piccardthof;0.01;0.81;0.10;0.09
Bruilweering;0.05;0.83;0.01;0.11
Vinkhuizen-Zuid;0.12;0.42;0.41;0.05
Hoogkerk Dorp;0.06;0.63;0.27;0.04
Stokkum;0.01;0.87;0.03;0.09
Hoogkerk-Zuid;0.08;0.66;0.20;0.07
Peizerweg;0.01;0.76;0.12;0.12
't Zandt;0.11;0.54;0.33;0.02
